Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
39;Métro;GRANDS BOULEVARDS;7092775;M8;M9;;;;Paris;9
41;Métro;MAIRIE DE CLICHY;6987958;M13 JAUNE;;;;;Clichy;
101;Métro;SAINT-GERMAIN DES PRES;4498265;M4;;;;;Paris;6
132;Métro;ANATOLE FRANCE;3866326;M3;;;;;Levallois-Perret;
144;Métro;CADET;3612956;M7;;;;;Paris;9
165;Métro;GAITE;3165824;M13;;;;;Paris;14
189;Métro;MARAICHERS;2903399;M9;;;;;Paris;20
191;Métro;BILLANCOURT;2838189;M9;;;;;Boulogne Billancourt;
214;Métro;JAVEL-ANDRE CITROEN;2565099;M10;;;;;Paris;15
268;Métro;MAISONS-ALFORT-STADE;1689344;M8;;;;;Maisons -Alfort;
24;RER;NATION-RER;3902059;RER A;;;;;Paris;12
278;Métro;VARENNE;1538258;M13;;;;;Paris;7
60;RER;SCEAUX;680371;RER B;;;;;sceaux;
174;Métro;CHEVALERET;3058367;M6;;;;;Paris;13
254;Métro;FELIX FAURE;1895590;M8;;;;;Paris;15
300;Métro;BUTTES-CHAUMONT;507867;7bis;;;;;Paris;19
117;Métro;OBERKAMPF;4167444;M5;M9;;;;Paris;11
143;Métro;EGLISE DE PANTIN;3693931;M5;;;;;Pantin;
225;Métro;SEVRES-LECOURBE;2408327;M6;;;;;Paris;15
10;Métro;CHATELET;13929657;M1;M4;M7;M11;M14;Paris;1
61;Métro;MIROMESNIL;5916541;M9;M13;;;;Paris;8
74;Métro;VOLTAIRE;5341865;M9;;;;;Paris;11
84;Métro;HOCHE;5046958;M5;;;;;Pantin;
87;Métro;GLACIERE;4933269;M6;;;;;Paris;13
90;Métro;COLONEL FABIEN;4808282;M2;;;;;Paris;10
91;Métro;PLAISANCE;4794268;M13;;;;;Paris;14
105;Métro;ECOLE MILITAIRE;4443503;M8;;;;;Paris;7
118;Métro;ALMA-MARCEAU;4060044;M9;;;;;Paris;8
119;Métro;CHATEAU D'EAU;4059164;M4;;;;;Paris;10
120;Métro;CHARONNE;4047046;M9;;;;;Paris;12
146;Métro;LOUISE MICHEL;3594105;M3;;;;;Levallois-Perret;
171;Métro;PORTE DE CHOISY;3085089;M7 JAUNE;;;;;Paris;13
221;Métro;TELEGRAPHE;2506008;M11;;;;;Paris;20
250;Métro;MICHEL BIZOT;2038450;M8;;;;;Paris;12
298;Métro;BOLIVAR;646310;7bis;;;;;Paris;19
50;RER;LES BACONNETS;1585110;RER B;;;;;Antony;
64;RER;COURCELLE-SUR-YVETTE;554234;RER B;;;;;Gif sur Yvette;
103;Métro;PORTE DE VANVES;4464578;M13;;;;;Paris;14
114;Métro;LA MUETTE;4206204;M9;;;;;Paris;16
158;Métro;DUROC;3339347;M10;M13;;;;Paris;7
210;Métro;CORVISART;2622998;M6;;;;;Paris;13
222;Métro;LOUIS BLANC;2489483;M7;7bis;;;;Paris;10
260;Métro;SAINT-FRANCOIS-XAVIER;1837976;M13;;;;;Paris;7
292;Métro;VANEAU;964320;M10;;;;;Paris;7
41;RER;ROBINSON;2167299;RER B;;;;;Sceaux;
52;RER;LE VESINET-CENTRE;1201471;RER A;;;;;Le Vésinet;
71;Métro;BASILIQUE DE SAINT-DENIS;5393138;M13 BLEUE;;;;;Saint Denis;
128;Métro;LEDRU-ROLLIN;3917141;M8;;;;;Paris;12
135;Métro;LES GOBELINS;3835783;M7;;;;;Paris;13
242;Métro;MAISON BLANCHE;2122847;M7;M7 BLEUE; M7 JAUNE;;;Paris;13
252;Métro;BUZENVAL;1914564;M9;;;;;Paris;20
14;RER;AUBER;6248528;RER A;;;;;Paris;9
23;Métro;PORTE MAILLOT;8998134;M1;;;;;Paris;16
68;Métro;LA COURNEUVE-8 MAI 1945;5536146;M7;;;;;La Courneuve;
76;Métro;PORTE DE SAINT-CLOUD;5284078;M9;;;;;Paris;16
190;Métro;PORTE DAUPHINE;2890496;M2;;;;;Paris;16
209;Métro;MALESHERBES;2623165;M3;;;;;Paris;17
217;Métro;SAINT-SULPICE;2551607;M4;;;;;Paris;6
